label,job_id,instances,workers_per_instance,total_workers,expected_trees,completed_trees,duration_seconds,duration_minutes,total_time_seconds,training_time_seconds,training_time_minutes,throughput_trees_per_second,failed_attempts,retry_events,notes,speedup,efficiency
1x1,local_regression_2m_400,1,1,1,400,400,2969.6519709999993,49.494199516666654,2969.6519709999993,2904.468005399998,48.407800089999974,0.13771885221538624,0,0,baseline locale regressione 2M 400 alberi,1.0,1.0
2x2,job_d619c1a8a7d546e8b6987341eec9e3d9,2,2,4,400,400,845.3152487277985,14.088587478796642,845.3152487277985,810.0711627006531,13.501186045010884,0.49378377902808107,0,0,,3.513070390566517,0.8782675976416292
4x1,job_b594f838244849e0a093b95e823bda55,4,1,4,400,400,622.1806688308716,10.36967781384786,622.1806688308716,591.7820191383362,9.863033652305603,0.6759245584758046,0,0,,4.772973703249602,1.1932434258124005
3x2,job_21e38181c63949adb9010bb1869d08b1,3,2,6,400,400,742.0069255828857,12.366782093048096,742.0069255828857,711.6729798316956,11.86121633052826,0.5620559039554888,0,0,,4.002189020900554,0.6670315034834257
2x4,job_17b66deb76704a0aae4dbeb635489cbf,2,4,8,400,400,881.8247339725494,14.697078899542491,881.8247339725494,843.991064786911,14.066517746448516,0.4739386667570836,0,0,,3.3676215426867833,0.4209526928358479
4x2,job_d0bc3a8f2c8c4aadb27f8a5491d9282a,4,2,8,400,400,458.1515655517578,7.6358594258626304,458.1515655517578,429.3198184967041,7.155330308278402,0.9317063474978405,0,0,,6.4818112482571335,0.8102264060321417
3x3,job_8694995956964f2baf51c5a5201265d6,3,3,9,400,400,577.073228597641,9.617887143294016,577.073228597641,546.0534765720367,9.100891276200612,0.7325289869246552,0,0,,5.146057421891879,0.5717841579879865
3x4,job_e420bade934a4076b06f11271a89e0be,3,4,12,400,400,608.4021236896515,10.140035394827525,608.4021236896515,575.9285066127777,9.598808443546295,0.6945306499109233,0,0,,4.881067727033168,0.40675564391943064
4x3,job_f9e95a90329c492c9c39ae0e6de1f9fc,4,3,12,400,400,443.64543318748474,7.394090553124745,443.64543318748474,415.1750364303589,6.919583940505982,0.9634490634098991,0,0,,6.693750794781704,0.5578125662318086
4x4,job_54907fa2477f40928e7115e684124b30,4,4,16,400,400,468.28074741363525,7.804679123560588,468.28074741363525,439.2035925388336,7.320059875647227,0.9107393627811291,0,0,,6.3416059434467575,0.39635037146542235
