config,retry_label,event_kind,job_id,instances,workers_per_instance,total_workers,duration_seconds,duration_minutes,total_time_seconds,total_time_minutes,training_time_seconds,training_time_minutes,expected_trees,completed_trees,throughput_trees_per_second,real_retry_events,retried_shards,failure_recovery_events,retry_events,failed_attempts,config_order,retry_order,overhead_vs_no_retry_seconds,overhead_vs_no_retry_percent
8x1,con evento,failure parziale,job_0c79c0847f294325a843439ad53eda43,8,1,8,479.9162256717682,7.9986037611961365,479.9162256717682,7.9986037611961365,450.2693030834198,7.504488384723663,400,400,0.8883572503406776,0,0,33,0,2,1,1,,
8x1,run pulita,nessuna anomalia,job_5a445e641aee47228340290d1129c0dd,8,1,8,342.5377998352051,5.7089633305867515,342.5377998352051,5.7089633305867515,315.07106280326843,5.2511843800544735,400,400,1.2695548630873839,0,0,32,0,0,1,2,,
8x2,con evento,failure parziale,job_ad2a4f8fb7c84b00b430112347e4af46,8,2,16,473.7893440723419,7.896489067872365,473.7893440723419,7.896489067872365,443.1298294067383,7.385497156778971,400,400,0.9026699929804309,0,0,66,0,4,2,1,,
8x2,run pulita,nessuna anomalia,job_356f180845df4b17a2c55c6ec9f22f70,8,2,16,259.01986622810364,4.316997770468394,259.01986622810364,4.316997770468394,230.88433599472046,3.8480722665786744,400,400,1.732469196217567,0,0,64,0,0,2,2,,
3x3,con evento,retry reale,job_b7a0557e7eee400aa5473aaaedffee8d,3,3,9,884.8575873374939,14.747626455624898,884.8575873374939,14.747626455624898,853.9452321529388,14.232420535882314,400,400,0.4684141147922719,6,1,38,6,3,3,1,,
3x3,run pulita,nessuna anomalia,job_8694995956964f2baf51c5a5201265d6,3,3,9,577.073228597641,9.617887143294016,577.073228597641,9.617887143294016,546.0534765720367,9.100891276200612,400,400,0.7325289869246552,0,0,36,0,0,3,2,,
